DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1987,53.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1988,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1989,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1990,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1991,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1992,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1993,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1994,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1995,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1996,53.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1997,53.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,AL,1998,53.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1973,15.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1974,15.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1975,14.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1976,14.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1977,12.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1978,12.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1979,11.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1980,11.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1981,10.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1982,10.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1983,10.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1984,10.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1985,10.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1986,10.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1987,10.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1988,11.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1989,11.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1990,12.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1991,12.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1992,13.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1993,14.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1994,14.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1995,14.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1996,14.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1997,15.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BE,1998,16.00,
