"Roky","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Celkem","194155","171200","181886","160725","165176","149109.55","182589.09","176693.77","120308.46","112141.11","138479.59","152021.45","150932.84","188593.59","149716.27","122699.73","186566.7","127009.44","141251.28","139449.3","159972.33","123639.73"
"Jádrové ovoce",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","110644.87"
"jablka","165974","140651","146894","134094","136385","115813.86","154063.21","141995.65","99800.98","84594.21","118709.31","121802.51","128291.67","155360.81","124997.17","105279.59","151528","99496.19","115585.43","114957.7","131352.75","101017.48"
"hrušky","3180","1515","2264","3288","2867","3615.78","3075.22","5882.64","4168.53","5691.5","5345.17","7171.91","3728.91","8920.98","6541.16","3947.44","7212.62","6129.85","7368.4","7395.19","8519.39","9602"
"ostatní jádroviny",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","25.39"
"Peckové ovoce",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11092.95"
"broskve","5512","5520","4539","2912","3541","3586.59","3729.53","3182.53","1802.35","2091.48","1561.41","2290.1","1073.18","1596.4","275.17","484.75","961.98","546.36","429.92","435.41","336.11","192.36"
"meruňky","1455","4293","5484","2374","3020","5441.38","2864.41","4949.69","1332.7","2422.18","1032.31","3991.58","2316.99","2237.91","782.1","1019.01","2254.64","2872","591.44","1861.96","1528.96","710.94"
"slivoně, švestky","3977","4085","6167","4460","5206","5857.888","5941.6","8893.49","4469.99","6261.51","4059.62","7485.8","6116.25","9115.55","5997.75","4064.59","12923.75","8756.16","8823.66","6975.28","10680.03","5415"
"švestky pravé a pološvestky","1694","1715","2911","1924","2612","2340.82","2105.09","3686.56","2088.6","3013.3","2733.7","5080.36","4622","7706.11","5094.7","3829.98","11576.25","7923.36","8235.52","6380.96","9762.7","."
"slívy, renklódy a mirabelky","2283","2370","3256","2536","2594","3517.07","3836.51","5206.93","2381.39","3248.21","1325.92","2405.44","1494.25","1409.44","903.05","234.61","1347.5","832.8","588.14","594.32","917.33","."
"třešně","1871","2821","2977","2053","2271","2776.92","2341.96","2404.05","2106.92","2661.54","1538.54","1716.17","2433.7","2443.3","2534.9","1998.8","2713.81","2644.97","876.7","1373.93","1839.93","1486.45"
"višně","8909","8087","9552","7870","8869","8660.53","6736.21","6694.31","4515.25","6701.66","3706.89","5283.9","5019.81","5803.69","6677.86","4202.42","6814.36","5340.7","5857.71","4954.84","4437.49","3287.02"
"ostatní peckoviny",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.18"
"Bobuloviny a drobné ovoce",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1780.08"
"rybíz","3042","3921","3729","3456","2846","3226.96","3709.03","2505.95","2016.69","1671.83","2469.33","2203.03","1846.7","2912.13","1796.45","1609.4","1887.31","980.23","1562.73","1266.51","1100.53","876.47"
"rybíz černý",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","274.47"
"rybíz červený a bílý",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","602"
"angrešt","126","135","164","88","35","17.51","19","16.32","25.73","4.39","5.83","28.14","39.57","22","22.56","23.17","15.88","10.94","3.1","7.17","4.39","."
"maliny",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.27","120.47","48.65","43.63","50.52","81.1"
"borůvky",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","752.24"
"ostatní bobuloviny a drobné ovoce",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","70.27"
"Skořápkové ovoce",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","121.83"
"vlašské ořechy","109","172","116","130","136","112.13","108.92","169.14","69.32","40.81","51.18","48.31","66.06","180.82","91.15","70.56","154.08","111.57","103.54","177.68","122.23","117.81"
"ostatní skořápkové ovoce",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.02"
